Time, Low-pass and crossfade (2st partial)
1.738867, 180.898026
1.740382, 181.333206
1.741896, 177.579788
1.743411, 175.431107
1.744926, 173.282410
1.746441, 177.742981
1.747955, 181.251602
1.749470, 180.680435
1.750985, 179.864471
1.752499, 180.707626
1.754014, 181.224411
1.755529, 186.038559
1.757043, 190.036758
1.758558, 192.484634
1.760073, 195.938858
1.761588, 198.740311
1.763102, 201.759369
1.764617, 205.186386
1.766132, 206.165543
1.767646, 205.159195
1.769161, 205.567169
1.770676, 205.539978
1.772190, 205.295181
1.773705, 203.908051
1.775220, 202.221741
1.776734, 196.999603
1.778249, 191.124710
1.779764, 189.139206
1.781278, 189.601578
1.782793, 188.676834
1.784308, 188.785629
1.785823, 189.275192
1.787337, 190.934311
1.788852, 194.551727
1.790367, 197.217194
1.791881, 198.903503
1.793396, 199.229889
1.794911, 197.407578
1.796425, 196.510025
1.797940, 193.164597
1.799455, 191.587082
1.800969, 192.566223
1.802484, 193.110199
1.803999, 194.633331
1.805514, 193.626984
1.807028, 194.034958
1.808543, 197.353195
1.810058, 198.767517
1.811572, 197.543579
1.813087, 196.102051
1.814602, 196.482834
1.816116, 198.087555
1.817631, 198.794708
1.819146, 198.930710
1.820660, 198.740311
1.822175, 200.617020
1.823690, 205.267990
1.825204, 206.383133
1.826719, 205.893555
1.828234, 206.437531
1.829749, 206.002350
1.831263, 205.050400
1.832778, 207.987854
1.834293, 210.190933
1.835807, 210.898102
1.837322, 209.130188
1.838837, 209.918945
1.840351, 212.992401
1.841866, 215.385880
1.843381, 215.685059
1.844895, 216.555420
1.846410, 217.452972
1.847925, 217.724960
1.849440, 215.712250
1.850954, 215.712250
1.852469, 216.065842
1.853984, 216.772995
1.855498, 219.411270
1.857013, 220.961594
1.858528, 219.547256
1.860042, 219.628860
1.861557, 218.622513
1.863072, 220.118439
1.864587, 219.792053
1.866101, 219.411270
1.867616, 215.657852
1.869131, 210.680511
1.870645, 204.560822
1.872160, 202.684113
1.873675, 201.949753
1.875189, 202.874512
1.876704, 203.364090
1.878219, 207.144684
1.879733, 210.027740
1.881248, 212.965195
1.882763, 211.387680
1.884278, 209.973343
1.885792, 211.469269
1.887307, 218.323318
1.888822, 220.118439
1.890336, 221.451172
1.891851, 221.505569
1.893366, 223.790253
1.894880, 224.116623
1.896395, 226.265320
1.897910, 224.551804
1.899424, 221.451172
1.900939, 217.017792
1.902454, 216.582611
1.903969, 213.481964
1.905483, 212.448425
1.906998, 211.958847
1.908513, 214.297928
